resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 78.3000, resnet50_adv_asr: 21.7000, resnet50_fdadv_acc: 77.8000, resnet50_fdadv_asr: 22.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 68.5000, densenet121_adv_asr: 31.5000, densenet121_fdadv_acc: 67.4000, densenet121_fdadv_asr: 32.6000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 60.7000, resnext50_adv_asr: 39.3000, resnext50_fdadv_acc: 58.2000, resnext50_fdadv_asr: 41.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 47.3000, vgg19bn_adv_asr: 52.7000, vgg19bn_fdadv_acc: 46.6000, vgg19bn_fdadv_asr: 53.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 83.8000, incres_v2_adv_asr: 16.2000, incres_v2_fdadv_acc: 83.2000, incres_v2_fdadv_asr: 16.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 67.5000, inc_v3_adv_asr: 32.5000, inc_v3_fdadv_acc: 66.9000, inc_v3_fdadv_asr: 33.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 78.3000, inc_v4_adv_asr: 21.7000, inc_v4_fdadv_acc: 75.5000, inc_v4_fdadv_asr: 24.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 88.0000, resnet101_adv_asr: 12.0000, resnet101_fdadv_acc: 85.9000, resnet101_fdadv_asr: 14.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 87.8000, resnet152_adv_asr: 12.2000, resnet152_fdadv_acc: 87.2000, resnet152_fdadv_asr: 12.8000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 62.6000, adv_inception_v3_adv_asr: 37.4000, adv_inception_v3_fdadv_acc: 62.0000, adv_inception_v3_fdadv_asr: 38.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.6000, ens_adv_inception_resnet_v2_adv_asr: 14.4000, ens_adv_inception_resnet_v2_fdadv_acc: 84.3000, ens_adv_inception_resnet_v2_fdadv_asr: 15.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 89.1000, visformer_small_adv_asr: 10.9000, visformer_small_fdadv_acc: 87.4000, visformer_small_fdadv_asr: 12.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 92.5000, vit_b_adv_asr: 7.5000, vit_b_fdadv_acc: 92.2000, vit_b_fdadv_asr: 7.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 92.9000, swin_b_adv_asr: 7.1000, swin_b_fdadv_acc: 92.9000, swin_b_fdadv_asr: 7.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 92.4000, pit_b_adv_asr: 7.6000, pit_b_fdadv_acc: 92.0000, pit_b_fdadv_asr: 8.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 44.0000, mobilenet_adv_asr: 56.0000, mobilenet_fdadv_acc: 43.9000, mobilenet_fdadv_asr: 56.1000
