resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 88.3000, resnet50_adv_asr: 11.7000, resnet50_fdadv_acc: 87.2000, resnet50_fdadv_asr: 12.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 79.2000, densenet121_adv_asr: 20.8000, densenet121_fdadv_acc: 79.0000, densenet121_fdadv_asr: 21.0000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 91.2000, resnext50_adv_asr: 8.8000, resnext50_fdadv_acc: 90.6000, resnext50_fdadv_asr: 9.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 49.0000, vgg19bn_adv_asr: 51.0000, vgg19bn_fdadv_acc: 49.4000, vgg19bn_fdadv_asr: 50.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 87.8000, incres_v2_adv_asr: 12.2000, incres_v2_fdadv_acc: 88.2000, incres_v2_fdadv_asr: 11.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 74.8000, inc_v3_adv_asr: 25.2000, inc_v3_fdadv_acc: 76.0000, inc_v3_fdadv_asr: 24.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 85.5000, inc_v4_adv_asr: 14.5000, inc_v4_fdadv_acc: 84.3000, inc_v4_fdadv_asr: 15.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 92.7000, resnet101_adv_asr: 7.3000, resnet101_fdadv_acc: 92.1000, resnet101_fdadv_asr: 7.9000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 93.6000, resnet152_adv_asr: 6.4000, resnet152_fdadv_acc: 93.0000, resnet152_fdadv_asr: 7.0000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 73.7000, adv_inception_v3_adv_asr: 26.3000, adv_inception_v3_fdadv_acc: 73.6000, adv_inception_v3_fdadv_asr: 26.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 86.4000, ens_adv_inception_resnet_v2_adv_asr: 13.6000, ens_adv_inception_resnet_v2_fdadv_acc: 86.7000, ens_adv_inception_resnet_v2_fdadv_asr: 13.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 91.4000, visformer_small_adv_asr: 8.6000, visformer_small_fdadv_acc: 91.2000, visformer_small_fdadv_asr: 8.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 92.7000, vit_b_adv_asr: 7.3000, vit_b_fdadv_acc: 93.0000, vit_b_fdadv_asr: 7.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 67.5000, swin_b_adv_asr: 32.5000, swin_b_fdadv_acc: 66.4000, swin_b_fdadv_asr: 33.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 92.8000, pit_b_adv_asr: 7.2000, pit_b_fdadv_acc: 93.0000, pit_b_fdadv_asr: 7.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 48.8000, mobilenet_adv_asr: 51.2000, mobilenet_fdadv_acc: 49.4000, mobilenet_fdadv_asr: 50.6000
