resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 82.3000, resnet50_adv_asr: 17.7000, resnet50_fdadv_acc: 82.5000, resnet50_fdadv_asr: 17.5000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 68.4000, densenet121_adv_asr: 31.6000, densenet121_fdadv_acc: 67.5000, densenet121_fdadv_asr: 32.5000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 85.1000, resnext50_adv_asr: 14.9000, resnext50_fdadv_acc: 85.5000, resnext50_fdadv_asr: 14.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 13.6000, vgg19bn_adv_asr: 86.4000, vgg19bn_fdadv_acc: 10.8000, vgg19bn_fdadv_asr: 89.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 82.9000, incres_v2_adv_asr: 17.1000, incres_v2_fdadv_acc: 82.3000, incres_v2_fdadv_asr: 17.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 65.9000, inc_v3_adv_asr: 34.1000, inc_v3_fdadv_acc: 66.4000, inc_v3_fdadv_asr: 33.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 77.0000, inc_v4_adv_asr: 23.0000, inc_v4_fdadv_acc: 76.9000, inc_v4_fdadv_asr: 23.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 89.3000, resnet101_adv_asr: 10.7000, resnet101_fdadv_acc: 88.1000, resnet101_fdadv_asr: 11.9000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 91.3000, resnet152_adv_asr: 8.7000, resnet152_fdadv_acc: 91.9000, resnet152_fdadv_asr: 8.1000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 73.5000, adv_inception_v3_adv_asr: 26.5000, adv_inception_v3_fdadv_acc: 73.5000, adv_inception_v3_fdadv_asr: 26.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.1000, ens_adv_inception_resnet_v2_adv_asr: 14.9000, ens_adv_inception_resnet_v2_fdadv_acc: 85.2000, ens_adv_inception_resnet_v2_fdadv_asr: 14.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 90.2000, visformer_small_adv_asr: 9.8000, visformer_small_fdadv_acc: 90.7000, visformer_small_fdadv_asr: 9.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 93.2000, vit_b_adv_asr: 6.8000, vit_b_fdadv_acc: 92.9000, vit_b_fdadv_asr: 7.1000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 89.2000, swin_b_adv_asr: 10.8000, swin_b_fdadv_acc: 89.2000, swin_b_fdadv_asr: 10.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 92.9000, pit_b_adv_asr: 7.1000, pit_b_fdadv_acc: 93.6000, pit_b_fdadv_asr: 6.4000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 38.8000, mobilenet_adv_asr: 61.2000, mobilenet_fdadv_acc: 36.6000, mobilenet_fdadv_asr: 63.4000
