resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 74.8000, resnet50_adv_asr: 25.2000, resnet50_fdadv_acc: 75.1000, resnet50_fdadv_asr: 24.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 61.7000, densenet121_adv_asr: 38.3000, densenet121_fdadv_acc: 61.9000, densenet121_fdadv_asr: 38.1000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 78.8000, resnext50_adv_asr: 21.2000, resnext50_fdadv_acc: 76.2000, resnext50_fdadv_asr: 23.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 40.3000, vgg19bn_adv_asr: 59.7000, vgg19bn_fdadv_acc: 39.9000, vgg19bn_fdadv_asr: 60.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 76.8000, incres_v2_adv_asr: 23.2000, incres_v2_fdadv_acc: 75.5000, incres_v2_fdadv_asr: 24.5000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 60.9000, inc_v3_adv_asr: 39.1000, inc_v3_fdadv_acc: 59.4000, inc_v3_fdadv_asr: 40.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 67.7000, inc_v4_adv_asr: 32.3000, inc_v4_fdadv_acc: 68.1000, inc_v4_fdadv_asr: 31.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 84.8000, resnet101_adv_asr: 15.2000, resnet101_fdadv_acc: 82.6000, resnet101_fdadv_asr: 17.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 83.9000, resnet152_adv_asr: 16.1000, resnet152_fdadv_acc: 82.6000, resnet152_fdadv_asr: 17.4000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 63.5000, adv_inception_v3_adv_asr: 36.5000, adv_inception_v3_fdadv_acc: 61.8000, adv_inception_v3_fdadv_asr: 38.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.8000, ens_adv_inception_resnet_v2_adv_asr: 19.2000, ens_adv_inception_resnet_v2_fdadv_acc: 80.5000, ens_adv_inception_resnet_v2_fdadv_asr: 19.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 38.9000, visformer_small_adv_asr: 61.1000, visformer_small_fdadv_acc: 37.0000, visformer_small_fdadv_asr: 63.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 85.4000, vit_b_adv_asr: 14.6000, vit_b_fdadv_acc: 84.1000, vit_b_fdadv_asr: 15.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 83.6000, swin_b_adv_asr: 16.4000, swin_b_fdadv_acc: 81.7000, swin_b_fdadv_asr: 18.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 81.6000, pit_b_adv_asr: 18.4000, pit_b_fdadv_acc: 81.9000, pit_b_fdadv_asr: 18.1000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 39.0000, mobilenet_adv_asr: 61.0000, mobilenet_fdadv_acc: 38.5000, mobilenet_fdadv_asr: 61.5000
