resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 77.8000, resnet50_adv_asr: 22.2000, resnet50_fdadv_acc: 78.0000, resnet50_fdadv_asr: 22.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 63.9000, densenet121_adv_asr: 36.1000, densenet121_fdadv_acc: 63.7000, densenet121_fdadv_asr: 36.3000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 81.5000, resnext50_adv_asr: 18.5000, resnext50_fdadv_acc: 80.7000, resnext50_fdadv_asr: 19.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 41.4000, vgg19bn_adv_asr: 58.6000, vgg19bn_fdadv_acc: 41.0000, vgg19bn_fdadv_asr: 59.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 78.6000, incres_v2_adv_asr: 21.4000, incres_v2_fdadv_acc: 78.3000, incres_v2_fdadv_asr: 21.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 63.0000, inc_v3_adv_asr: 37.0000, inc_v3_fdadv_acc: 63.4000, inc_v3_fdadv_asr: 36.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 73.2000, inc_v4_adv_asr: 26.8000, inc_v4_fdadv_acc: 72.8000, inc_v4_fdadv_asr: 27.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 86.9000, resnet101_adv_asr: 13.1000, resnet101_fdadv_acc: 86.0000, resnet101_fdadv_asr: 14.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 87.3000, resnet152_adv_asr: 12.7000, resnet152_fdadv_acc: 86.1000, resnet152_fdadv_asr: 13.9000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 69.0000, adv_inception_v3_adv_asr: 31.0000, adv_inception_v3_fdadv_acc: 70.0000, adv_inception_v3_fdadv_asr: 30.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.6000, ens_adv_inception_resnet_v2_adv_asr: 18.4000, ens_adv_inception_resnet_v2_fdadv_acc: 81.7000, ens_adv_inception_resnet_v2_fdadv_asr: 18.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 83.8000, visformer_small_adv_asr: 16.2000, visformer_small_fdadv_acc: 83.5000, visformer_small_fdadv_asr: 16.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 42.0000, vit_b_adv_asr: 58.0000, vit_b_fdadv_acc: 38.7000, vit_b_fdadv_asr: 61.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 82.1000, swin_b_adv_asr: 17.9000, swin_b_fdadv_acc: 81.5000, swin_b_fdadv_asr: 18.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 87.6000, pit_b_adv_asr: 12.4000, pit_b_fdadv_acc: 87.5000, pit_b_fdadv_asr: 12.5000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 39.1000, mobilenet_adv_asr: 60.9000, mobilenet_fdadv_acc: 40.2000, mobilenet_fdadv_asr: 59.8000
