resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 83.7000, resnet50_adv_asr: 16.3000, resnet50_fdadv_acc: 83.2000, resnet50_fdadv_asr: 16.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 74.1000, densenet121_adv_asr: 25.9000, densenet121_fdadv_acc: 73.8000, densenet121_fdadv_asr: 26.2000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 88.2000, resnext50_adv_asr: 11.8000, resnext50_fdadv_acc: 86.9000, resnext50_fdadv_asr: 13.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 54.2000, vgg19bn_adv_asr: 45.8000, vgg19bn_fdadv_acc: 52.8000, vgg19bn_fdadv_asr: 47.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 78.2000, incres_v2_adv_asr: 21.8000, incres_v2_fdadv_acc: 77.6000, incres_v2_fdadv_asr: 22.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 59.9000, inc_v3_adv_asr: 40.1000, inc_v3_fdadv_acc: 60.4000, inc_v3_fdadv_asr: 39.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 77.3000, inc_v4_adv_asr: 22.7000, inc_v4_fdadv_acc: 77.1000, inc_v4_fdadv_asr: 22.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 89.3000, resnet101_adv_asr: 10.7000, resnet101_fdadv_acc: 89.6000, resnet101_fdadv_asr: 10.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 91.9000, resnet152_adv_asr: 8.1000, resnet152_fdadv_acc: 91.6000, resnet152_fdadv_asr: 8.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 7.3000, adv_inception_v3_adv_asr: 92.7000, adv_inception_v3_fdadv_acc: 2.4000, adv_inception_v3_fdadv_asr: 97.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 84.2000, ens_adv_inception_resnet_v2_adv_asr: 15.8000, ens_adv_inception_resnet_v2_fdadv_acc: 83.8000, ens_adv_inception_resnet_v2_fdadv_asr: 16.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 92.1000, visformer_small_adv_asr: 7.9000, visformer_small_fdadv_acc: 91.9000, visformer_small_fdadv_asr: 8.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 94.1000, vit_b_adv_asr: 5.9000, vit_b_fdadv_acc: 93.7000, vit_b_fdadv_asr: 6.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 94.3000, swin_b_adv_asr: 5.7000, swin_b_fdadv_acc: 93.1000, swin_b_fdadv_asr: 6.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 93.9000, pit_b_adv_asr: 6.1000, pit_b_fdadv_acc: 93.8000, pit_b_fdadv_asr: 6.2000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 46.0000, mobilenet_adv_asr: 54.0000, mobilenet_fdadv_acc: 45.9000, mobilenet_fdadv_asr: 54.1000
