resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 17.6000, resnet50_adv_asr: 82.4000, resnet50_fdadv_acc: 13.1000, resnet50_fdadv_asr: 86.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.0000, densenet121_adv_asr: 100.0000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 21.4000, resnext50_adv_asr: 78.6000, resnext50_fdadv_acc: 16.5000, resnext50_fdadv_asr: 83.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 7.2000, vgg19bn_adv_asr: 92.8000, vgg19bn_fdadv_acc: 5.8000, vgg19bn_fdadv_asr: 94.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 38.6000, incres_v2_adv_asr: 61.4000, incres_v2_fdadv_acc: 31.8000, incres_v2_fdadv_asr: 68.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 23.4000, inc_v3_adv_asr: 76.6000, inc_v3_fdadv_acc: 19.8000, inc_v3_fdadv_asr: 80.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 29.5000, inc_v4_adv_asr: 70.5000, inc_v4_fdadv_acc: 22.9000, inc_v4_fdadv_asr: 77.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 30.2000, resnet101_adv_asr: 69.8000, resnet101_fdadv_acc: 23.4000, resnet101_fdadv_asr: 76.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 36.7000, resnet152_adv_asr: 63.3000, resnet152_fdadv_acc: 27.7000, resnet152_fdadv_asr: 72.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 52.3000, adv_inception_v3_adv_asr: 47.7000, adv_inception_v3_fdadv_acc: 50.6000, adv_inception_v3_fdadv_asr: 49.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 72.0000, ens_adv_inception_resnet_v2_adv_asr: 28.0000, ens_adv_inception_resnet_v2_fdadv_acc: 71.8000, ens_adv_inception_resnet_v2_fdadv_asr: 28.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 50.4000, visformer_small_adv_asr: 49.6000, visformer_small_fdadv_acc: 42.6000, visformer_small_fdadv_asr: 57.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 72.0000, vit_b_adv_asr: 28.0000, vit_b_fdadv_acc: 69.6000, vit_b_fdadv_asr: 30.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 71.7000, swin_b_adv_asr: 28.3000, swin_b_fdadv_acc: 65.7000, swin_b_fdadv_asr: 34.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 66.2000, pit_b_adv_asr: 33.8000, pit_b_fdadv_acc: 61.9000, pit_b_fdadv_asr: 38.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 13.9000, mobilenet_adv_asr: 86.1000, mobilenet_fdadv_acc: 11.5000, mobilenet_fdadv_asr: 88.5000
