resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 29.4000, resnet50_adv_asr: 70.6000, resnet50_fdadv_acc: 25.5000, resnet50_fdadv_asr: 74.5000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 19.4000, densenet121_adv_asr: 80.6000, densenet121_fdadv_acc: 16.5000, densenet121_fdadv_asr: 83.5000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 31.5000, resnext50_adv_asr: 68.5000, resnext50_fdadv_acc: 28.8000, resnext50_fdadv_asr: 71.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 9.3000, vgg19bn_adv_asr: 90.7000, vgg19bn_fdadv_acc: 8.1000, vgg19bn_fdadv_asr: 91.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 19.1000, incres_v2_adv_asr: 80.9000, incres_v2_fdadv_acc: 14.1000, incres_v2_fdadv_asr: 85.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 11.6000, inc_v3_adv_asr: 88.4000, inc_v3_fdadv_acc: 9.3000, inc_v3_fdadv_asr: 90.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 0.0000, inc_v4_adv_asr: 100.0000, inc_v4_fdadv_acc: 0.0000, inc_v4_fdadv_asr: 100.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 37.9000, resnet101_adv_asr: 62.1000, resnet101_fdadv_acc: 33.8000, resnet101_fdadv_asr: 66.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 40.2000, resnet152_adv_asr: 59.8000, resnet152_fdadv_acc: 37.5000, resnet152_fdadv_asr: 62.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 40.9000, adv_inception_v3_adv_asr: 59.1000, adv_inception_v3_fdadv_acc: 39.7000, adv_inception_v3_fdadv_asr: 60.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 65.2000, ens_adv_inception_resnet_v2_adv_asr: 34.8000, ens_adv_inception_resnet_v2_fdadv_acc: 63.8000, ens_adv_inception_resnet_v2_fdadv_asr: 36.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 50.6000, visformer_small_adv_asr: 49.4000, visformer_small_fdadv_acc: 45.8000, visformer_small_fdadv_asr: 54.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 70.5000, vit_b_adv_asr: 29.5000, vit_b_fdadv_acc: 68.7000, vit_b_fdadv_asr: 31.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 74.7000, swin_b_adv_asr: 25.3000, swin_b_fdadv_acc: 70.7000, swin_b_fdadv_asr: 29.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 64.7000, pit_b_adv_asr: 35.3000, pit_b_fdadv_acc: 61.3000, pit_b_fdadv_asr: 38.7000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 19.4000, mobilenet_adv_asr: 80.6000, mobilenet_fdadv_acc: 18.1000, mobilenet_fdadv_asr: 81.9000
