resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 35.9000, resnet50_adv_asr: 64.1000, resnet50_fdadv_acc: 28.0000, resnet50_fdadv_asr: 72.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 23.3000, densenet121_adv_asr: 76.7000, densenet121_fdadv_acc: 17.1000, densenet121_fdadv_asr: 82.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 37.4000, resnext50_adv_asr: 62.6000, resnext50_fdadv_acc: 28.8000, resnext50_fdadv_asr: 71.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 13.5000, vgg19bn_adv_asr: 86.5000, vgg19bn_fdadv_acc: 10.4000, vgg19bn_fdadv_asr: 89.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 0.3000, incres_v2_adv_asr: 99.7000, incres_v2_fdadv_acc: 0.1000, incres_v2_fdadv_asr: 99.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 12.8000, inc_v3_adv_asr: 87.2000, inc_v3_fdadv_acc: 9.0000, inc_v3_fdadv_asr: 91.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 19.3000, inc_v4_adv_asr: 80.7000, inc_v4_fdadv_acc: 12.9000, inc_v4_fdadv_asr: 87.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 44.3000, resnet101_adv_asr: 55.7000, resnet101_fdadv_acc: 36.0000, resnet101_fdadv_asr: 64.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 48.8000, resnet152_adv_asr: 51.2000, resnet152_fdadv_acc: 38.7000, resnet152_fdadv_asr: 61.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 38.5000, adv_inception_v3_adv_asr: 61.5000, adv_inception_v3_fdadv_acc: 34.8000, adv_inception_v3_fdadv_asr: 65.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 60.1000, ens_adv_inception_resnet_v2_adv_asr: 39.9000, ens_adv_inception_resnet_v2_fdadv_acc: 55.1000, ens_adv_inception_resnet_v2_fdadv_asr: 44.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 62.7000, visformer_small_adv_asr: 37.3000, visformer_small_fdadv_acc: 53.1000, visformer_small_fdadv_asr: 46.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 75.1000, vit_b_adv_asr: 24.9000, vit_b_fdadv_acc: 68.3000, vit_b_fdadv_asr: 31.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 80.3000, swin_b_adv_asr: 19.7000, swin_b_fdadv_acc: 73.7000, swin_b_fdadv_asr: 26.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 65.5000, pit_b_adv_asr: 34.5000, pit_b_fdadv_acc: 56.9000, pit_b_fdadv_asr: 43.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 19.4000, mobilenet_adv_asr: 80.6000, mobilenet_fdadv_acc: 17.0000, mobilenet_fdadv_asr: 83.0000
