resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 59.9000, resnet50_adv_asr: 40.1000, resnet50_fdadv_acc: 54.2000, resnet50_fdadv_asr: 45.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 39.0000, densenet121_adv_asr: 61.0000, densenet121_fdadv_acc: 32.1000, densenet121_fdadv_asr: 67.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 65.6000, resnext50_adv_asr: 34.4000, resnext50_fdadv_acc: 62.8000, resnext50_fdadv_asr: 37.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 16.6000, vgg19bn_adv_asr: 83.4000, vgg19bn_fdadv_acc: 12.5000, vgg19bn_fdadv_asr: 87.5000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 63.3000, incres_v2_adv_asr: 36.7000, incres_v2_fdadv_acc: 60.4000, incres_v2_fdadv_asr: 39.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 44.6000, inc_v3_adv_asr: 55.4000, inc_v3_fdadv_acc: 39.9000, inc_v3_fdadv_asr: 60.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 56.8000, inc_v4_adv_asr: 43.2000, inc_v4_fdadv_acc: 51.1000, inc_v4_fdadv_asr: 48.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 73.1000, resnet101_adv_asr: 26.9000, resnet101_fdadv_acc: 69.4000, resnet101_fdadv_asr: 30.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 77.8000, resnet152_adv_asr: 22.2000, resnet152_fdadv_acc: 74.1000, resnet152_fdadv_asr: 25.9000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 58.5000, adv_inception_v3_adv_asr: 41.5000, adv_inception_v3_fdadv_acc: 59.5000, adv_inception_v3_fdadv_asr: 40.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.2000, ens_adv_inception_resnet_v2_adv_asr: 18.8000, ens_adv_inception_resnet_v2_fdadv_acc: 82.1000, ens_adv_inception_resnet_v2_fdadv_asr: 17.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 72.3000, visformer_small_adv_asr: 27.7000, visformer_small_fdadv_acc: 69.4000, visformer_small_fdadv_asr: 30.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 85.9000, vit_b_adv_asr: 14.1000, vit_b_fdadv_acc: 84.7000, vit_b_fdadv_asr: 15.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 79.1000, swin_b_adv_asr: 20.9000, swin_b_fdadv_acc: 79.3000, swin_b_fdadv_asr: 20.7000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 79.9000, pit_b_adv_asr: 20.1000, pit_b_fdadv_acc: 77.5000, pit_b_fdadv_asr: 22.5000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
