resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 28.4000, resnet50_adv_asr: 71.6000, resnet50_fdadv_acc: 27.2000, resnet50_fdadv_asr: 72.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 24.2000, densenet121_adv_asr: 75.8000, densenet121_fdadv_acc: 25.1000, densenet121_fdadv_asr: 74.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 27.6000, resnext50_adv_asr: 72.4000, resnext50_fdadv_acc: 24.5000, resnext50_fdadv_asr: 75.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 11.6000, vgg19bn_adv_asr: 88.4000, vgg19bn_fdadv_acc: 11.8000, vgg19bn_fdadv_asr: 88.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 36.6000, incres_v2_adv_asr: 63.4000, incres_v2_fdadv_acc: 38.1000, incres_v2_fdadv_asr: 61.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 26.9000, inc_v3_adv_asr: 73.1000, inc_v3_fdadv_acc: 26.5000, inc_v3_fdadv_asr: 73.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 31.1000, inc_v4_adv_asr: 68.9000, inc_v4_fdadv_acc: 32.5000, inc_v4_fdadv_asr: 67.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 34.7000, resnet101_adv_asr: 65.3000, resnet101_fdadv_acc: 35.0000, resnet101_fdadv_asr: 65.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 37.2000, resnet152_adv_asr: 62.8000, resnet152_fdadv_acc: 35.4000, resnet152_fdadv_asr: 64.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 54.7000, adv_inception_v3_adv_asr: 45.3000, adv_inception_v3_fdadv_acc: 57.7000, adv_inception_v3_fdadv_asr: 42.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 73.3000, ens_adv_inception_resnet_v2_adv_asr: 26.7000, ens_adv_inception_resnet_v2_fdadv_acc: 75.8000, ens_adv_inception_resnet_v2_fdadv_asr: 24.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 22.4000, visformer_small_adv_asr: 77.6000, visformer_small_fdadv_acc: 23.0000, visformer_small_fdadv_asr: 77.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 46.8000, vit_b_adv_asr: 53.2000, vit_b_fdadv_acc: 48.2000, vit_b_fdadv_asr: 51.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 30.9000, swin_b_adv_asr: 69.1000, swin_b_fdadv_acc: 29.5000, swin_b_fdadv_asr: 70.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.0000, pit_b_adv_asr: 100.0000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 21.8000, mobilenet_adv_asr: 78.2000, mobilenet_fdadv_acc: 22.1000, mobilenet_fdadv_asr: 77.9000
