resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 8.8000, resnet50_adv_asr: 91.2000, resnet50_fdadv_acc: 9.1000, resnet50_fdadv_asr: 90.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 13.4000, densenet121_adv_asr: 86.6000, densenet121_fdadv_acc: 12.8000, densenet121_fdadv_asr: 87.2000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 11.2000, resnext50_adv_asr: 88.8000, resnext50_fdadv_acc: 10.7000, resnext50_fdadv_asr: 89.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 12.5000, vgg19bn_adv_asr: 87.5000, vgg19bn_fdadv_acc: 12.4000, vgg19bn_fdadv_asr: 87.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 36.0000, incres_v2_adv_asr: 64.0000, incres_v2_fdadv_acc: 36.3000, incres_v2_fdadv_asr: 63.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 28.8000, inc_v3_adv_asr: 71.2000, inc_v3_fdadv_acc: 29.0000, inc_v3_fdadv_asr: 71.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 30.0000, inc_v4_adv_asr: 70.0000, inc_v4_fdadv_acc: 30.5000, inc_v4_fdadv_asr: 69.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 9.6000, resnet101_adv_asr: 90.4000, resnet101_fdadv_acc: 9.8000, resnet101_fdadv_asr: 90.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 0.4000, resnet152_adv_asr: 99.6000, resnet152_fdadv_acc: 0.5000, resnet152_fdadv_asr: 99.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 58.9000, adv_inception_v3_adv_asr: 41.1000, adv_inception_v3_fdadv_acc: 60.8000, adv_inception_v3_fdadv_asr: 39.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.0000, ens_adv_inception_resnet_v2_adv_asr: 20.0000, ens_adv_inception_resnet_v2_fdadv_acc: 80.0000, ens_adv_inception_resnet_v2_fdadv_asr: 20.0000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 38.6000, visformer_small_adv_asr: 61.4000, visformer_small_fdadv_acc: 39.9000, visformer_small_fdadv_asr: 60.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 65.7000, vit_b_adv_asr: 34.3000, vit_b_fdadv_acc: 67.2000, vit_b_fdadv_asr: 32.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 53.4000, swin_b_adv_asr: 46.6000, swin_b_fdadv_acc: 56.9000, swin_b_fdadv_asr: 43.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 46.0000, pit_b_adv_asr: 54.0000, pit_b_fdadv_acc: 46.2000, pit_b_fdadv_asr: 53.8000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 24.4000, mobilenet_adv_asr: 75.6000, mobilenet_fdadv_acc: 25.6000, mobilenet_fdadv_asr: 74.4000
