resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 15.0000, resnet50_adv_asr: 85.0000, resnet50_fdadv_acc: 11.6000, resnet50_fdadv_asr: 88.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 12.4000, densenet121_adv_asr: 87.6000, densenet121_fdadv_acc: 10.3000, densenet121_fdadv_asr: 89.7000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 14.8000, resnext50_adv_asr: 85.2000, resnext50_fdadv_acc: 13.3000, resnext50_fdadv_asr: 86.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 6.7000, vgg19bn_adv_asr: 93.3000, vgg19bn_fdadv_acc: 6.4000, vgg19bn_fdadv_asr: 93.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 26.4000, incres_v2_adv_asr: 73.6000, incres_v2_fdadv_acc: 24.9000, incres_v2_fdadv_asr: 75.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 16.0000, inc_v3_adv_asr: 84.0000, inc_v3_fdadv_acc: 16.4000, inc_v3_fdadv_asr: 83.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 18.3000, inc_v4_adv_asr: 81.7000, inc_v4_fdadv_acc: 15.6000, inc_v4_fdadv_asr: 84.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 20.2000, resnet101_adv_asr: 79.8000, resnet101_fdadv_acc: 17.4000, resnet101_fdadv_asr: 82.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 23.7000, resnet152_adv_asr: 76.3000, resnet152_fdadv_acc: 19.7000, resnet152_fdadv_asr: 80.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 46.6000, adv_inception_v3_adv_asr: 53.4000, adv_inception_v3_fdadv_acc: 50.6000, adv_inception_v3_fdadv_asr: 49.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 66.3000, ens_adv_inception_resnet_v2_adv_asr: 33.7000, ens_adv_inception_resnet_v2_fdadv_acc: 66.9000, ens_adv_inception_resnet_v2_fdadv_asr: 33.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 0.0000, visformer_small_adv_asr: 100.0000, visformer_small_fdadv_acc: 0.0000, visformer_small_fdadv_asr: 100.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 38.3000, vit_b_adv_asr: 61.7000, vit_b_fdadv_acc: 36.0000, vit_b_fdadv_asr: 64.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 20.5000, swin_b_adv_asr: 79.5000, swin_b_fdadv_acc: 18.6000, swin_b_fdadv_asr: 81.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 17.1000, pit_b_adv_asr: 82.9000, pit_b_fdadv_acc: 15.4000, pit_b_fdadv_asr: 84.6000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 12.4000, mobilenet_adv_asr: 87.6000, mobilenet_fdadv_acc: 12.2000, mobilenet_fdadv_asr: 87.8000
