resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 45.2000, resnet50_adv_asr: 54.8000, resnet50_fdadv_acc: 41.4000, resnet50_fdadv_asr: 58.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 33.9000, densenet121_adv_asr: 66.1000, densenet121_fdadv_acc: 31.5000, densenet121_fdadv_asr: 68.5000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 46.9000, resnext50_adv_asr: 53.1000, resnext50_fdadv_acc: 41.7000, resnext50_fdadv_asr: 58.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 20.8000, vgg19bn_adv_asr: 79.2000, vgg19bn_fdadv_acc: 18.9000, vgg19bn_fdadv_asr: 81.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 46.4000, incres_v2_adv_asr: 53.6000, incres_v2_fdadv_acc: 41.9000, incres_v2_fdadv_asr: 58.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 35.9000, inc_v3_adv_asr: 64.1000, inc_v3_fdadv_acc: 33.9000, inc_v3_fdadv_asr: 66.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 41.4000, inc_v4_adv_asr: 58.6000, inc_v4_fdadv_acc: 38.0000, inc_v4_fdadv_asr: 62.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 53.8000, resnet101_adv_asr: 46.2000, resnet101_fdadv_acc: 48.3000, resnet101_fdadv_asr: 51.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 52.2000, resnet152_adv_asr: 47.8000, resnet152_fdadv_acc: 47.0000, resnet152_fdadv_asr: 53.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 54.6000, adv_inception_v3_adv_asr: 45.4000, adv_inception_v3_fdadv_acc: 53.9000, adv_inception_v3_fdadv_asr: 46.1000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 72.4000, ens_adv_inception_resnet_v2_adv_asr: 27.6000, ens_adv_inception_resnet_v2_fdadv_acc: 72.4000, ens_adv_inception_resnet_v2_fdadv_asr: 27.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 39.7000, visformer_small_adv_asr: 60.3000, visformer_small_fdadv_acc: 36.1000, visformer_small_fdadv_asr: 63.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 0.1000, vit_b_adv_asr: 99.9000, vit_b_fdadv_acc: 0.0000, vit_b_fdadv_asr: 100.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 39.1000, swin_b_adv_asr: 60.9000, swin_b_fdadv_acc: 35.4000, swin_b_fdadv_asr: 64.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 44.4000, pit_b_adv_asr: 55.6000, pit_b_fdadv_acc: 40.9000, pit_b_fdadv_asr: 59.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 26.4000, mobilenet_adv_asr: 73.6000, mobilenet_fdadv_acc: 24.1000, mobilenet_fdadv_asr: 75.9000
