resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 68.3000, resnet50_adv_asr: 31.7000, resnet50_fdadv_acc: 64.3000, resnet50_fdadv_asr: 35.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 48.9000, densenet121_adv_asr: 51.1000, densenet121_fdadv_acc: 45.9000, densenet121_fdadv_asr: 54.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 71.8000, resnext50_adv_asr: 28.2000, resnext50_fdadv_acc: 67.7000, resnext50_fdadv_asr: 32.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 39.4000, vgg19bn_adv_asr: 60.6000, vgg19bn_fdadv_acc: 36.4000, vgg19bn_fdadv_asr: 63.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 42.1000, incres_v2_adv_asr: 57.9000, incres_v2_fdadv_acc: 38.2000, incres_v2_fdadv_asr: 61.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 28.6000, inc_v3_adv_asr: 71.4000, inc_v3_fdadv_acc: 26.5000, inc_v3_fdadv_asr: 73.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 40.9000, inc_v4_adv_asr: 59.1000, inc_v4_fdadv_acc: 36.3000, inc_v4_fdadv_asr: 63.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 80.1000, resnet101_adv_asr: 19.9000, resnet101_fdadv_acc: 75.4000, resnet101_fdadv_asr: 24.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 80.4000, resnet152_adv_asr: 19.6000, resnet152_fdadv_acc: 79.4000, resnet152_fdadv_asr: 20.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 1.5000, adv_inception_v3_adv_asr: 98.5000, adv_inception_v3_fdadv_acc: 1.4000, adv_inception_v3_fdadv_asr: 98.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 39.6000, ens_adv_inception_resnet_v2_adv_asr: 60.4000, ens_adv_inception_resnet_v2_fdadv_acc: 38.9000, ens_adv_inception_resnet_v2_fdadv_asr: 61.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 78.9000, visformer_small_adv_asr: 21.1000, visformer_small_fdadv_acc: 75.9000, visformer_small_fdadv_asr: 24.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 84.7000, vit_b_adv_asr: 15.3000, vit_b_fdadv_acc: 81.8000, vit_b_fdadv_asr: 18.2000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 91.8000, swin_b_adv_asr: 8.2000, swin_b_fdadv_acc: 89.5000, swin_b_fdadv_asr: 10.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 88.0000, pit_b_adv_asr: 12.0000, pit_b_fdadv_acc: 87.1000, pit_b_fdadv_asr: 12.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 32.6000, mobilenet_adv_asr: 67.4000, mobilenet_fdadv_acc: 31.1000, mobilenet_fdadv_asr: 68.9000
