resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 41.4000, resnet50_adv_asr: 58.6000, resnet50_fdadv_acc: 40.0000, resnet50_fdadv_asr: 60.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.3000, densenet121_adv_asr: 99.7000, densenet121_fdadv_acc: 0.4000, densenet121_fdadv_asr: 99.6000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 45.9000, resnext50_adv_asr: 54.1000, resnext50_fdadv_acc: 46.1000, resnext50_fdadv_asr: 53.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 19.7000, vgg19bn_adv_asr: 80.3000, vgg19bn_fdadv_acc: 18.2000, vgg19bn_fdadv_asr: 81.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 39.8000, incres_v2_adv_asr: 60.2000, incres_v2_fdadv_acc: 37.8000, incres_v2_fdadv_asr: 62.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 29.7000, inc_v3_adv_asr: 70.3000, inc_v3_fdadv_acc: 26.3000, inc_v3_fdadv_asr: 73.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 34.5000, inc_v4_adv_asr: 65.5000, inc_v4_fdadv_acc: 29.4000, inc_v4_fdadv_asr: 70.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 59.7000, resnet101_adv_asr: 40.3000, resnet101_fdadv_acc: 58.9000, resnet101_fdadv_asr: 41.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 65.6000, resnet152_adv_asr: 34.4000, resnet152_fdadv_acc: 63.3000, resnet152_fdadv_asr: 36.7000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 35.3000, adv_inception_v3_adv_asr: 64.7000, adv_inception_v3_fdadv_acc: 33.4000, adv_inception_v3_fdadv_asr: 66.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 43.6000, ens_adv_inception_resnet_v2_adv_asr: 56.4000, ens_adv_inception_resnet_v2_fdadv_acc: 42.4000, ens_adv_inception_resnet_v2_fdadv_asr: 57.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 63.8000, visformer_small_adv_asr: 36.2000, visformer_small_fdadv_acc: 61.6000, visformer_small_fdadv_asr: 38.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 78.4000, vit_b_adv_asr: 21.6000, vit_b_fdadv_acc: 78.3000, vit_b_fdadv_asr: 21.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 88.5000, swin_b_adv_asr: 11.5000, swin_b_fdadv_acc: 88.2000, swin_b_fdadv_asr: 11.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 82.9000, pit_b_adv_asr: 17.1000, pit_b_fdadv_acc: 82.2000, pit_b_fdadv_asr: 17.8000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 16.2000, mobilenet_adv_asr: 83.8000, mobilenet_fdadv_acc: 15.7000, mobilenet_fdadv_asr: 84.3000
