resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 57.3000, resnet50_adv_asr: 42.7000, resnet50_fdadv_acc: 55.2000, resnet50_fdadv_asr: 44.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 41.5000, densenet121_adv_asr: 58.5000, densenet121_fdadv_acc: 38.6000, densenet121_fdadv_asr: 61.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 60.2000, resnext50_adv_asr: 39.8000, resnext50_fdadv_acc: 57.8000, resnext50_fdadv_asr: 42.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 32.3000, vgg19bn_adv_asr: 67.7000, vgg19bn_fdadv_acc: 30.5000, vgg19bn_fdadv_asr: 69.5000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 2.2000, incres_v2_adv_asr: 97.8000, incres_v2_fdadv_acc: 2.7000, incres_v2_fdadv_asr: 97.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 25.2000, inc_v3_adv_asr: 74.8000, inc_v3_fdadv_acc: 22.0000, inc_v3_fdadv_asr: 78.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 28.7000, inc_v4_adv_asr: 71.3000, inc_v4_fdadv_acc: 26.4000, inc_v4_fdadv_asr: 73.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 69.0000, resnet101_adv_asr: 31.0000, resnet101_fdadv_acc: 66.6000, resnet101_fdadv_asr: 33.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 72.9000, resnet152_adv_asr: 27.1000, resnet152_fdadv_acc: 69.8000, resnet152_fdadv_asr: 30.2000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 32.0000, adv_inception_v3_adv_asr: 68.0000, adv_inception_v3_fdadv_acc: 29.8000, adv_inception_v3_fdadv_asr: 70.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 38.1000, ens_adv_inception_resnet_v2_adv_asr: 61.9000, ens_adv_inception_resnet_v2_fdadv_acc: 33.5000, ens_adv_inception_resnet_v2_fdadv_asr: 66.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 69.6000, visformer_small_adv_asr: 30.4000, visformer_small_fdadv_acc: 66.3000, visformer_small_fdadv_asr: 33.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 80.2000, vit_b_adv_asr: 19.8000, vit_b_fdadv_acc: 78.8000, vit_b_fdadv_asr: 21.2000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 87.7000, swin_b_adv_asr: 12.3000, swin_b_fdadv_acc: 85.9000, swin_b_fdadv_asr: 14.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 82.9000, pit_b_adv_asr: 17.1000, pit_b_fdadv_acc: 80.7000, pit_b_fdadv_asr: 19.3000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 30.3000, mobilenet_adv_asr: 69.7000, mobilenet_fdadv_acc: 28.8000, mobilenet_fdadv_asr: 71.2000
