resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 67.2000, resnet50_adv_asr: 32.8000, resnet50_fdadv_acc: 64.9000, resnet50_fdadv_asr: 35.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 40.5000, densenet121_adv_asr: 59.5000, densenet121_fdadv_acc: 38.1000, densenet121_fdadv_asr: 61.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 70.0000, resnext50_adv_asr: 30.0000, resnext50_fdadv_acc: 70.0000, resnext50_fdadv_asr: 30.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 23.8000, vgg19bn_adv_asr: 76.2000, vgg19bn_fdadv_acc: 21.2000, vgg19bn_fdadv_asr: 78.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 58.5000, incres_v2_adv_asr: 41.5000, incres_v2_fdadv_acc: 56.9000, incres_v2_fdadv_asr: 43.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 37.0000, inc_v3_adv_asr: 63.0000, inc_v3_fdadv_acc: 33.6000, inc_v3_fdadv_asr: 66.4000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 47.8000, inc_v4_adv_asr: 52.2000, inc_v4_fdadv_acc: 45.6000, inc_v4_fdadv_asr: 54.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 81.3000, resnet101_adv_asr: 18.7000, resnet101_fdadv_acc: 79.6000, resnet101_fdadv_asr: 20.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 84.9000, resnet152_adv_asr: 15.1000, resnet152_fdadv_acc: 82.9000, resnet152_fdadv_asr: 17.1000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 48.8000, adv_inception_v3_adv_asr: 51.2000, adv_inception_v3_fdadv_acc: 46.7000, adv_inception_v3_fdadv_asr: 53.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 60.3000, ens_adv_inception_resnet_v2_adv_asr: 39.7000, ens_adv_inception_resnet_v2_fdadv_acc: 58.9000, ens_adv_inception_resnet_v2_fdadv_asr: 41.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 78.3000, visformer_small_adv_asr: 21.7000, visformer_small_fdadv_acc: 78.4000, visformer_small_fdadv_asr: 21.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 87.7000, vit_b_adv_asr: 12.3000, vit_b_fdadv_acc: 87.6000, vit_b_fdadv_asr: 12.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 93.4000, swin_b_adv_asr: 6.6000, swin_b_fdadv_acc: 94.5000, swin_b_fdadv_asr: 5.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 89.1000, pit_b_adv_asr: 10.9000, pit_b_fdadv_acc: 88.1000, pit_b_fdadv_asr: 11.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
