resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 46.1000, resnet50_adv_asr: 53.9000, resnet50_fdadv_acc: 45.3000, resnet50_fdadv_asr: 54.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 43.9000, densenet121_adv_asr: 56.1000, densenet121_fdadv_acc: 43.1000, densenet121_fdadv_asr: 56.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 15.8000, resnext50_adv_asr: 84.2000, resnext50_fdadv_acc: 14.5000, resnext50_fdadv_asr: 85.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 31.8000, vgg19bn_adv_asr: 68.2000, vgg19bn_fdadv_acc: 31.0000, vgg19bn_fdadv_asr: 69.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 59.0000, incres_v2_adv_asr: 41.0000, incres_v2_fdadv_acc: 57.7000, incres_v2_fdadv_asr: 42.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 45.9000, inc_v3_adv_asr: 54.1000, inc_v3_fdadv_acc: 44.6000, inc_v3_fdadv_asr: 55.4000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 47.7000, inc_v4_adv_asr: 52.3000, inc_v4_fdadv_acc: 47.0000, inc_v4_fdadv_asr: 53.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 57.3000, resnet101_adv_asr: 42.7000, resnet101_fdadv_acc: 54.8000, resnet101_fdadv_asr: 45.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 58.8000, resnet152_adv_asr: 41.2000, resnet152_fdadv_acc: 58.0000, resnet152_fdadv_asr: 42.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 59.5000, adv_inception_v3_adv_asr: 40.5000, adv_inception_v3_fdadv_acc: 57.6000, adv_inception_v3_fdadv_asr: 42.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 66.2000, ens_adv_inception_resnet_v2_adv_asr: 33.8000, ens_adv_inception_resnet_v2_fdadv_acc: 66.2000, ens_adv_inception_resnet_v2_fdadv_asr: 33.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 65.9000, visformer_small_adv_asr: 34.1000, visformer_small_fdadv_acc: 64.0000, visformer_small_fdadv_asr: 36.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 81.7000, vit_b_adv_asr: 18.3000, vit_b_fdadv_acc: 79.7000, vit_b_fdadv_asr: 20.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 84.4000, swin_b_adv_asr: 15.6000, swin_b_fdadv_acc: 85.5000, swin_b_fdadv_asr: 14.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 76.9000, pit_b_adv_asr: 23.1000, pit_b_fdadv_acc: 77.6000, pit_b_fdadv_asr: 22.4000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 29.9000, mobilenet_adv_asr: 70.1000, mobilenet_fdadv_acc: 29.9000, mobilenet_fdadv_asr: 70.1000
