resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 65.5000, resnet50_adv_asr: 34.5000, resnet50_fdadv_acc: 65.1000, resnet50_fdadv_asr: 34.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 59.1000, densenet121_adv_asr: 40.9000, densenet121_fdadv_acc: 57.4000, densenet121_fdadv_asr: 42.6000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 66.0000, resnext50_adv_asr: 34.0000, resnext50_fdadv_acc: 67.5000, resnext50_fdadv_asr: 32.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 38.5000, vgg19bn_adv_asr: 61.5000, vgg19bn_fdadv_acc: 38.3000, vgg19bn_fdadv_asr: 61.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 66.0000, incres_v2_adv_asr: 34.0000, incres_v2_fdadv_acc: 66.3000, incres_v2_fdadv_asr: 33.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 51.2000, inc_v3_adv_asr: 48.8000, inc_v3_fdadv_acc: 51.3000, inc_v3_fdadv_asr: 48.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 57.2000, inc_v4_adv_asr: 42.8000, inc_v4_fdadv_acc: 58.2000, inc_v4_fdadv_asr: 41.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 72.3000, resnet101_adv_asr: 27.7000, resnet101_fdadv_acc: 73.2000, resnet101_fdadv_asr: 26.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 73.9000, resnet152_adv_asr: 26.1000, resnet152_fdadv_acc: 74.2000, resnet152_fdadv_asr: 25.8000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 67.1000, adv_inception_v3_adv_asr: 32.9000, adv_inception_v3_fdadv_acc: 65.9000, adv_inception_v3_fdadv_asr: 34.1000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 71.7000, ens_adv_inception_resnet_v2_adv_asr: 28.3000, ens_adv_inception_resnet_v2_fdadv_acc: 71.3000, ens_adv_inception_resnet_v2_fdadv_asr: 28.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 59.6000, visformer_small_adv_asr: 40.4000, visformer_small_fdadv_acc: 61.8000, visformer_small_fdadv_asr: 38.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 70.1000, vit_b_adv_asr: 29.9000, vit_b_fdadv_acc: 70.6000, vit_b_fdadv_asr: 29.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 5.1000, swin_b_adv_asr: 94.9000, swin_b_fdadv_acc: 3.6000, swin_b_fdadv_asr: 96.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 61.0000, pit_b_adv_asr: 39.0000, pit_b_fdadv_acc: 60.6000, pit_b_fdadv_asr: 39.4000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 34.1000, mobilenet_adv_asr: 65.9000, mobilenet_fdadv_acc: 32.4000, mobilenet_fdadv_asr: 67.6000
