resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 45.7000, resnet50_adv_asr: 54.3000, resnet50_fdadv_acc: 43.6000, resnet50_fdadv_asr: 56.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 38.0000, densenet121_adv_asr: 62.0000, densenet121_fdadv_acc: 37.5000, densenet121_fdadv_asr: 62.5000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 44.9000, resnext50_adv_asr: 55.1000, resnext50_fdadv_acc: 44.1000, resnext50_fdadv_asr: 55.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 26.8000, vgg19bn_adv_asr: 73.2000, vgg19bn_fdadv_acc: 25.0000, vgg19bn_fdadv_asr: 75.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 50.4000, incres_v2_adv_asr: 49.6000, incres_v2_fdadv_acc: 49.3000, incres_v2_fdadv_asr: 50.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 39.7000, inc_v3_adv_asr: 60.3000, inc_v3_fdadv_acc: 39.2000, inc_v3_fdadv_asr: 60.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 38.4000, inc_v4_adv_asr: 61.6000, inc_v4_fdadv_acc: 38.9000, inc_v4_fdadv_asr: 61.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 58.3000, resnet101_adv_asr: 41.7000, resnet101_fdadv_acc: 55.2000, resnet101_fdadv_asr: 44.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 60.7000, resnet152_adv_asr: 39.3000, resnet152_fdadv_acc: 58.1000, resnet152_fdadv_asr: 41.9000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 51.6000, adv_inception_v3_adv_asr: 48.4000, adv_inception_v3_fdadv_acc: 49.6000, adv_inception_v3_fdadv_asr: 50.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 58.5000, ens_adv_inception_resnet_v2_adv_asr: 41.5000, ens_adv_inception_resnet_v2_fdadv_acc: 58.3000, ens_adv_inception_resnet_v2_fdadv_asr: 41.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 2.0000, visformer_small_adv_asr: 98.0000, visformer_small_fdadv_acc: 1.8000, visformer_small_fdadv_asr: 98.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 60.1000, vit_b_adv_asr: 39.9000, vit_b_fdadv_acc: 57.4000, vit_b_fdadv_asr: 42.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 60.3000, swin_b_adv_asr: 39.7000, swin_b_fdadv_acc: 58.3000, swin_b_fdadv_asr: 41.7000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 45.6000, pit_b_adv_asr: 54.4000, pit_b_fdadv_acc: 44.0000, pit_b_fdadv_asr: 56.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 27.0000, mobilenet_adv_asr: 73.0000, mobilenet_fdadv_acc: 26.5000, mobilenet_fdadv_asr: 73.5000
