resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 59.6000, resnet50_adv_asr: 40.4000, resnet50_fdadv_acc: 59.2000, resnet50_fdadv_asr: 40.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 49.8000, densenet121_adv_asr: 50.2000, densenet121_fdadv_acc: 48.3000, densenet121_fdadv_asr: 51.7000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 61.1000, resnext50_adv_asr: 38.9000, resnext50_fdadv_acc: 59.4000, resnext50_fdadv_asr: 40.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 34.3000, vgg19bn_adv_asr: 65.7000, vgg19bn_fdadv_acc: 32.8000, vgg19bn_fdadv_asr: 67.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 57.3000, incres_v2_adv_asr: 42.7000, incres_v2_fdadv_acc: 56.8000, incres_v2_fdadv_asr: 43.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 45.5000, inc_v3_adv_asr: 54.5000, inc_v3_fdadv_acc: 43.5000, inc_v3_fdadv_asr: 56.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 50.1000, inc_v4_adv_asr: 49.9000, inc_v4_fdadv_acc: 48.7000, inc_v4_fdadv_asr: 51.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 68.6000, resnet101_adv_asr: 31.4000, resnet101_fdadv_acc: 66.5000, resnet101_fdadv_asr: 33.5000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 71.9000, resnet152_adv_asr: 28.1000, resnet152_fdadv_acc: 70.1000, resnet152_fdadv_asr: 29.9000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 55.0000, adv_inception_v3_adv_asr: 45.0000, adv_inception_v3_fdadv_acc: 54.3000, adv_inception_v3_fdadv_asr: 45.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 60.9000, ens_adv_inception_resnet_v2_adv_asr: 39.1000, ens_adv_inception_resnet_v2_fdadv_acc: 58.9000, ens_adv_inception_resnet_v2_fdadv_asr: 41.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 53.5000, visformer_small_adv_asr: 46.5000, visformer_small_fdadv_acc: 50.6000, visformer_small_fdadv_asr: 49.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 1.3000, vit_b_adv_asr: 98.7000, vit_b_fdadv_acc: 2.6000, vit_b_fdadv_asr: 97.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 67.7000, swin_b_adv_asr: 32.3000, swin_b_fdadv_acc: 65.0000, swin_b_fdadv_asr: 35.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 63.1000, pit_b_adv_asr: 36.9000, pit_b_fdadv_acc: 61.2000, pit_b_fdadv_asr: 38.8000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 30.9000, mobilenet_adv_asr: 69.1000, mobilenet_fdadv_acc: 31.7000, mobilenet_fdadv_asr: 68.3000
