resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 85.5000, resnet50_adv_asr: 14.5000, resnet50_fdadv_acc: 83.9000, resnet50_fdadv_asr: 16.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 76.0000, densenet121_adv_asr: 24.0000, densenet121_fdadv_acc: 74.1000, densenet121_fdadv_asr: 25.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 88.3000, resnext50_adv_asr: 11.7000, resnext50_fdadv_acc: 87.8000, resnext50_fdadv_asr: 12.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 57.0000, vgg19bn_adv_asr: 43.0000, vgg19bn_fdadv_acc: 54.8000, vgg19bn_fdadv_asr: 45.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 78.5000, incres_v2_adv_asr: 21.5000, incres_v2_fdadv_acc: 77.0000, incres_v2_fdadv_asr: 23.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 61.8000, inc_v3_adv_asr: 38.2000, inc_v3_fdadv_acc: 61.8000, inc_v3_fdadv_asr: 38.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 77.6000, inc_v4_adv_asr: 22.4000, inc_v4_fdadv_acc: 75.4000, inc_v4_fdadv_asr: 24.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 90.1000, resnet101_adv_asr: 9.9000, resnet101_fdadv_acc: 89.3000, resnet101_fdadv_asr: 10.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 92.3000, resnet152_adv_asr: 7.7000, resnet152_fdadv_acc: 91.4000, resnet152_fdadv_asr: 8.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 2.2000, adv_inception_v3_adv_asr: 97.8000, adv_inception_v3_fdadv_acc: 1.8000, adv_inception_v3_fdadv_asr: 98.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.3000, ens_adv_inception_resnet_v2_adv_asr: 17.7000, ens_adv_inception_resnet_v2_fdadv_acc: 81.1000, ens_adv_inception_resnet_v2_fdadv_asr: 18.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 91.7000, visformer_small_adv_asr: 8.3000, visformer_small_fdadv_acc: 91.3000, visformer_small_fdadv_asr: 8.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 94.6000, vit_b_adv_asr: 5.4000, vit_b_fdadv_acc: 94.0000, vit_b_fdadv_asr: 6.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 94.5000, swin_b_adv_asr: 5.5000, swin_b_fdadv_acc: 93.9000, swin_b_fdadv_asr: 6.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 94.3000, pit_b_adv_asr: 5.7000, pit_b_fdadv_acc: 92.9000, pit_b_fdadv_asr: 7.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 46.1000, mobilenet_adv_asr: 53.9000, mobilenet_fdadv_acc: 45.0000, mobilenet_fdadv_asr: 55.0000
