resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 12.4000, resnet50_adv_asr: 87.6000, resnet50_fdadv_acc: 11.1000, resnet50_fdadv_asr: 88.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.0000, densenet121_adv_asr: 100.0000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 14.4000, resnext50_adv_asr: 85.6000, resnext50_fdadv_acc: 11.6000, resnext50_fdadv_asr: 88.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 7.0000, vgg19bn_adv_asr: 93.0000, vgg19bn_fdadv_acc: 5.8000, vgg19bn_fdadv_asr: 94.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 26.4000, incres_v2_adv_asr: 73.6000, incres_v2_fdadv_acc: 25.9000, incres_v2_fdadv_asr: 74.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 18.5000, inc_v3_adv_asr: 81.5000, inc_v3_fdadv_acc: 17.5000, inc_v3_fdadv_asr: 82.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 19.6000, inc_v4_adv_asr: 80.4000, inc_v4_fdadv_acc: 18.9000, inc_v4_fdadv_asr: 81.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 21.2000, resnet101_adv_asr: 78.8000, resnet101_fdadv_acc: 18.0000, resnet101_fdadv_asr: 82.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 23.8000, resnet152_adv_asr: 76.2000, resnet152_fdadv_acc: 21.7000, resnet152_fdadv_asr: 78.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 52.0000, adv_inception_v3_adv_asr: 48.0000, adv_inception_v3_fdadv_acc: 50.8000, adv_inception_v3_fdadv_asr: 49.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 66.5000, ens_adv_inception_resnet_v2_adv_asr: 33.5000, ens_adv_inception_resnet_v2_fdadv_acc: 64.9000, ens_adv_inception_resnet_v2_fdadv_asr: 35.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 34.0000, visformer_small_adv_asr: 66.0000, visformer_small_fdadv_acc: 30.6000, visformer_small_fdadv_asr: 69.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 60.1000, vit_b_adv_asr: 39.9000, vit_b_fdadv_acc: 59.0000, vit_b_fdadv_asr: 41.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 57.9000, swin_b_adv_asr: 42.1000, swin_b_fdadv_acc: 55.5000, swin_b_fdadv_asr: 44.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 52.0000, pit_b_adv_asr: 48.0000, pit_b_fdadv_acc: 50.8000, pit_b_fdadv_asr: 49.2000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 13.9000, mobilenet_adv_asr: 86.1000, mobilenet_fdadv_acc: 12.6000, mobilenet_fdadv_asr: 87.4000
