resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 43.0000, resnet50_adv_asr: 57.0000, resnet50_fdadv_acc: 39.9000, resnet50_fdadv_asr: 60.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 31.7000, densenet121_adv_asr: 68.3000, densenet121_fdadv_acc: 29.1000, densenet121_fdadv_asr: 70.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 46.3000, resnext50_adv_asr: 53.7000, resnext50_fdadv_acc: 43.1000, resnext50_fdadv_asr: 56.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 22.2000, vgg19bn_adv_asr: 77.8000, vgg19bn_fdadv_acc: 19.9000, vgg19bn_fdadv_asr: 80.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 28.0000, incres_v2_adv_asr: 72.0000, incres_v2_fdadv_acc: 24.3000, incres_v2_fdadv_asr: 75.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 0.6000, inc_v3_adv_asr: 99.4000, inc_v3_fdadv_acc: 0.5000, inc_v3_fdadv_asr: 99.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 24.1000, inc_v4_adv_asr: 75.9000, inc_v4_fdadv_acc: 21.3000, inc_v4_fdadv_asr: 78.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 52.8000, resnet101_adv_asr: 47.2000, resnet101_fdadv_acc: 48.9000, resnet101_fdadv_asr: 51.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 55.6000, resnet152_adv_asr: 44.4000, resnet152_fdadv_acc: 52.6000, resnet152_fdadv_asr: 47.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 46.2000, adv_inception_v3_adv_asr: 53.8000, adv_inception_v3_fdadv_acc: 43.1000, adv_inception_v3_fdadv_asr: 56.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 71.2000, ens_adv_inception_resnet_v2_adv_asr: 28.8000, ens_adv_inception_resnet_v2_fdadv_acc: 68.1000, ens_adv_inception_resnet_v2_fdadv_asr: 31.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 61.1000, visformer_small_adv_asr: 38.9000, visformer_small_fdadv_acc: 58.1000, visformer_small_fdadv_asr: 41.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 76.8000, vit_b_adv_asr: 23.2000, vit_b_fdadv_acc: 74.3000, vit_b_fdadv_asr: 25.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 78.0000, swin_b_adv_asr: 22.0000, swin_b_fdadv_acc: 75.8000, swin_b_fdadv_asr: 24.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 71.4000, pit_b_adv_asr: 28.6000, pit_b_fdadv_acc: 68.4000, pit_b_fdadv_asr: 31.6000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 30.7000, mobilenet_adv_asr: 69.3000, mobilenet_fdadv_acc: 27.8000, mobilenet_fdadv_asr: 72.2000
