resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 35.6000, resnet50_adv_asr: 64.4000, resnet50_fdadv_acc: 30.0000, resnet50_fdadv_asr: 70.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 28.1000, densenet121_adv_asr: 71.9000, densenet121_fdadv_acc: 23.3000, densenet121_fdadv_asr: 76.7000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 36.0000, resnext50_adv_asr: 64.0000, resnext50_fdadv_acc: 30.9000, resnext50_fdadv_asr: 69.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 17.7000, vgg19bn_adv_asr: 82.3000, vgg19bn_fdadv_acc: 15.3000, vgg19bn_fdadv_asr: 84.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 1.1000, incres_v2_adv_asr: 98.9000, incres_v2_fdadv_acc: 1.1000, incres_v2_fdadv_asr: 98.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 17.5000, inc_v3_adv_asr: 82.5000, inc_v3_fdadv_acc: 14.1000, inc_v3_fdadv_asr: 85.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 17.2000, inc_v4_adv_asr: 82.8000, inc_v4_fdadv_acc: 14.1000, inc_v4_fdadv_asr: 85.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 43.6000, resnet101_adv_asr: 56.4000, resnet101_fdadv_acc: 37.6000, resnet101_fdadv_asr: 62.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 44.5000, resnet152_adv_asr: 55.5000, resnet152_fdadv_acc: 38.6000, resnet152_fdadv_asr: 61.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 43.5000, adv_inception_v3_adv_asr: 56.5000, adv_inception_v3_fdadv_acc: 38.1000, adv_inception_v3_fdadv_asr: 61.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 57.3000, ens_adv_inception_resnet_v2_adv_asr: 42.7000, ens_adv_inception_resnet_v2_fdadv_acc: 54.1000, ens_adv_inception_resnet_v2_fdadv_asr: 45.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 53.1000, visformer_small_adv_asr: 46.9000, visformer_small_fdadv_acc: 47.4000, visformer_small_fdadv_asr: 52.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 68.9000, vit_b_adv_asr: 31.1000, vit_b_fdadv_acc: 65.4000, vit_b_fdadv_asr: 34.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 67.9000, swin_b_adv_asr: 32.1000, swin_b_fdadv_acc: 65.2000, swin_b_fdadv_asr: 34.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 56.7000, pit_b_adv_asr: 43.3000, pit_b_fdadv_acc: 51.8000, pit_b_fdadv_asr: 48.2000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 24.6000, mobilenet_adv_asr: 75.4000, mobilenet_fdadv_acc: 22.8000, mobilenet_fdadv_asr: 77.2000
