resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 48.1000, resnet50_adv_asr: 51.9000, resnet50_fdadv_acc: 45.3000, resnet50_fdadv_asr: 54.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 24.5000, densenet121_adv_asr: 75.5000, densenet121_fdadv_acc: 22.6000, densenet121_fdadv_asr: 77.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 57.1000, resnext50_adv_asr: 42.9000, resnext50_fdadv_acc: 55.1000, resnext50_fdadv_asr: 44.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 12.0000, vgg19bn_adv_asr: 88.0000, vgg19bn_fdadv_acc: 9.7000, vgg19bn_fdadv_asr: 90.3000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 54.5000, incres_v2_adv_asr: 45.5000, incres_v2_fdadv_acc: 51.6000, incres_v2_fdadv_asr: 48.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 32.2000, inc_v3_adv_asr: 67.8000, inc_v3_fdadv_acc: 31.0000, inc_v3_fdadv_asr: 69.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 45.4000, inc_v4_adv_asr: 54.6000, inc_v4_fdadv_acc: 42.5000, inc_v4_fdadv_asr: 57.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 64.8000, resnet101_adv_asr: 35.2000, resnet101_fdadv_acc: 61.4000, resnet101_fdadv_asr: 38.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 70.3000, resnet152_adv_asr: 29.7000, resnet152_fdadv_acc: 67.8000, resnet152_fdadv_asr: 32.2000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 54.1000, adv_inception_v3_adv_asr: 45.9000, adv_inception_v3_fdadv_acc: 54.2000, adv_inception_v3_fdadv_asr: 45.8000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 77.0000, ens_adv_inception_resnet_v2_adv_asr: 23.0000, ens_adv_inception_resnet_v2_fdadv_acc: 77.5000, ens_adv_inception_resnet_v2_fdadv_asr: 22.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 63.5000, visformer_small_adv_asr: 36.5000, visformer_small_fdadv_acc: 60.0000, visformer_small_fdadv_asr: 40.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 81.2000, vit_b_adv_asr: 18.8000, vit_b_fdadv_acc: 80.4000, vit_b_fdadv_asr: 19.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 74.3000, swin_b_adv_asr: 25.7000, swin_b_fdadv_acc: 75.5000, swin_b_fdadv_asr: 24.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 75.6000, pit_b_adv_asr: 24.4000, pit_b_fdadv_acc: 74.6000, pit_b_fdadv_asr: 25.4000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
