resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 39.0000, resnet50_adv_asr: 61.0000, resnet50_fdadv_acc: 38.2000, resnet50_fdadv_asr: 61.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 36.6000, densenet121_adv_asr: 63.4000, densenet121_fdadv_acc: 36.0000, densenet121_fdadv_asr: 64.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 36.4000, resnext50_adv_asr: 63.6000, resnext50_fdadv_acc: 37.1000, resnext50_fdadv_asr: 62.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 21.6000, vgg19bn_adv_asr: 78.4000, vgg19bn_fdadv_acc: 20.8000, vgg19bn_fdadv_asr: 79.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 47.5000, incres_v2_adv_asr: 52.5000, incres_v2_fdadv_acc: 46.0000, incres_v2_fdadv_asr: 54.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 38.2000, inc_v3_adv_asr: 61.8000, inc_v3_fdadv_acc: 39.8000, inc_v3_fdadv_asr: 60.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 41.4000, inc_v4_adv_asr: 58.6000, inc_v4_fdadv_acc: 40.8000, inc_v4_fdadv_asr: 59.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 43.2000, resnet101_adv_asr: 56.8000, resnet101_fdadv_acc: 42.6000, resnet101_fdadv_asr: 57.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 43.5000, resnet152_adv_asr: 56.5000, resnet152_fdadv_acc: 44.0000, resnet152_fdadv_asr: 56.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 60.7000, adv_inception_v3_adv_asr: 39.3000, adv_inception_v3_fdadv_acc: 61.3000, adv_inception_v3_fdadv_asr: 38.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 76.3000, ens_adv_inception_resnet_v2_adv_asr: 23.7000, ens_adv_inception_resnet_v2_fdadv_acc: 77.1000, ens_adv_inception_resnet_v2_fdadv_asr: 22.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 29.9000, visformer_small_adv_asr: 70.1000, visformer_small_fdadv_acc: 29.9000, visformer_small_fdadv_asr: 70.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 48.5000, vit_b_adv_asr: 51.5000, vit_b_fdadv_acc: 49.0000, vit_b_fdadv_asr: 51.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 31.4000, swin_b_adv_asr: 68.6000, swin_b_fdadv_acc: 30.5000, swin_b_fdadv_asr: 69.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.0000, pit_b_adv_asr: 100.0000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 29.8000, mobilenet_adv_asr: 70.2000, mobilenet_fdadv_acc: 30.1000, mobilenet_fdadv_asr: 69.9000
