resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 56.8000, resnet50_adv_asr: 43.2000, resnet50_fdadv_acc: 58.9000, resnet50_fdadv_asr: 41.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 52.8000, densenet121_adv_asr: 47.2000, densenet121_fdadv_acc: 54.4000, densenet121_fdadv_asr: 45.6000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 58.4000, resnext50_adv_asr: 41.6000, resnext50_fdadv_acc: 59.2000, resnext50_fdadv_asr: 40.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 33.8000, vgg19bn_adv_asr: 66.2000, vgg19bn_fdadv_acc: 33.4000, vgg19bn_fdadv_asr: 66.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 64.3000, incres_v2_adv_asr: 35.7000, incres_v2_fdadv_acc: 64.1000, incres_v2_fdadv_asr: 35.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 51.6000, inc_v3_adv_asr: 48.4000, inc_v3_fdadv_acc: 54.1000, inc_v3_fdadv_asr: 45.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 58.2000, inc_v4_adv_asr: 41.8000, inc_v4_fdadv_acc: 61.4000, inc_v4_fdadv_asr: 38.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 62.9000, resnet101_adv_asr: 37.1000, resnet101_fdadv_acc: 63.1000, resnet101_fdadv_asr: 36.9000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 63.3000, resnet152_adv_asr: 36.7000, resnet152_fdadv_acc: 65.4000, resnet152_fdadv_asr: 34.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 67.9000, adv_inception_v3_adv_asr: 32.1000, adv_inception_v3_fdadv_acc: 68.4000, adv_inception_v3_fdadv_asr: 31.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.9000, ens_adv_inception_resnet_v2_adv_asr: 19.1000, ens_adv_inception_resnet_v2_fdadv_acc: 82.8000, ens_adv_inception_resnet_v2_fdadv_asr: 17.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 49.2000, visformer_small_adv_asr: 50.8000, visformer_small_fdadv_acc: 50.8000, visformer_small_fdadv_asr: 49.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 59.5000, vit_b_adv_asr: 40.5000, vit_b_fdadv_acc: 62.3000, vit_b_fdadv_asr: 37.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 0.3000, swin_b_adv_asr: 99.7000, swin_b_fdadv_acc: 0.1000, swin_b_fdadv_asr: 99.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 47.3000, pit_b_adv_asr: 52.7000, pit_b_fdadv_acc: 49.6000, pit_b_fdadv_asr: 50.4000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 37.6000, mobilenet_adv_asr: 62.4000, mobilenet_fdadv_acc: 37.8000, mobilenet_fdadv_asr: 62.2000
