resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 30.8000, resnet50_adv_asr: 69.2000, resnet50_fdadv_acc: 25.8000, resnet50_fdadv_asr: 74.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 18.6000, densenet121_adv_asr: 81.4000, densenet121_fdadv_acc: 16.7000, densenet121_fdadv_asr: 83.3000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 37.9000, resnext50_adv_asr: 62.1000, resnext50_fdadv_acc: 32.1000, resnext50_fdadv_asr: 67.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 0.0000, vgg19bn_adv_asr: 100.0000, vgg19bn_fdadv_acc: 0.0000, vgg19bn_fdadv_asr: 100.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 48.6000, incres_v2_adv_asr: 51.4000, incres_v2_fdadv_acc: 47.3000, incres_v2_fdadv_asr: 52.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 29.6000, inc_v3_adv_asr: 70.4000, inc_v3_fdadv_acc: 28.2000, inc_v3_fdadv_asr: 71.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 33.8000, inc_v4_adv_asr: 66.2000, inc_v4_fdadv_acc: 30.0000, inc_v4_fdadv_asr: 70.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 46.2000, resnet101_adv_asr: 53.8000, resnet101_fdadv_acc: 40.1000, resnet101_fdadv_asr: 59.9000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 51.1000, resnet152_adv_asr: 48.9000, resnet152_fdadv_acc: 46.0000, resnet152_fdadv_asr: 54.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 62.7000, adv_inception_v3_adv_asr: 37.3000, adv_inception_v3_fdadv_acc: 63.3000, adv_inception_v3_fdadv_asr: 36.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.1000, ens_adv_inception_resnet_v2_adv_asr: 19.9000, ens_adv_inception_resnet_v2_fdadv_acc: 79.1000, ens_adv_inception_resnet_v2_fdadv_asr: 20.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 52.6000, visformer_small_adv_asr: 47.4000, visformer_small_fdadv_acc: 48.4000, visformer_small_fdadv_asr: 51.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 78.6000, vit_b_adv_asr: 21.4000, vit_b_fdadv_acc: 77.1000, vit_b_fdadv_asr: 22.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 72.2000, swin_b_adv_asr: 27.8000, swin_b_fdadv_acc: 69.6000, swin_b_fdadv_asr: 30.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 67.1000, pit_b_adv_asr: 32.9000, pit_b_fdadv_acc: 63.1000, pit_b_fdadv_asr: 36.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 18.8000, mobilenet_adv_asr: 81.2000, mobilenet_fdadv_acc: 18.6000, mobilenet_fdadv_asr: 81.4000
