resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 43.3000, resnet50_adv_asr: 56.7000, resnet50_fdadv_acc: 42.2000, resnet50_fdadv_asr: 57.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 36.3000, densenet121_adv_asr: 63.7000, densenet121_fdadv_acc: 33.3000, densenet121_fdadv_asr: 66.7000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 45.2000, resnext50_adv_asr: 54.8000, resnext50_fdadv_acc: 42.9000, resnext50_fdadv_asr: 57.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 23.6000, vgg19bn_adv_asr: 76.4000, vgg19bn_fdadv_acc: 21.5000, vgg19bn_fdadv_asr: 78.5000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 45.8000, incres_v2_adv_asr: 54.2000, incres_v2_fdadv_acc: 45.4000, incres_v2_fdadv_asr: 54.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 39.2000, inc_v3_adv_asr: 60.8000, inc_v3_fdadv_acc: 36.4000, inc_v3_fdadv_asr: 63.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 41.2000, inc_v4_adv_asr: 58.8000, inc_v4_fdadv_acc: 40.6000, inc_v4_fdadv_asr: 59.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 48.9000, resnet101_adv_asr: 51.1000, resnet101_fdadv_acc: 48.0000, resnet101_fdadv_asr: 52.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 47.9000, resnet152_adv_asr: 52.1000, resnet152_fdadv_acc: 46.6000, resnet152_fdadv_asr: 53.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 60.0000, adv_inception_v3_adv_asr: 40.0000, adv_inception_v3_fdadv_acc: 57.7000, adv_inception_v3_fdadv_asr: 42.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 75.4000, ens_adv_inception_resnet_v2_adv_asr: 24.6000, ens_adv_inception_resnet_v2_fdadv_acc: 75.2000, ens_adv_inception_resnet_v2_fdadv_asr: 24.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 33.0000, visformer_small_adv_asr: 67.0000, visformer_small_fdadv_acc: 32.8000, visformer_small_fdadv_asr: 67.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 0.2000, vit_b_adv_asr: 99.8000, vit_b_fdadv_acc: 0.2000, vit_b_fdadv_asr: 99.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 30.3000, swin_b_adv_asr: 69.7000, swin_b_fdadv_acc: 28.1000, swin_b_fdadv_asr: 71.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 37.0000, pit_b_adv_asr: 63.0000, pit_b_fdadv_acc: 35.1000, pit_b_fdadv_asr: 64.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 29.2000, mobilenet_adv_asr: 70.8000, mobilenet_fdadv_acc: 27.9000, mobilenet_fdadv_asr: 72.1000
