resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 85.6000, resnet50_adv_asr: 14.4000, resnet50_fdadv_acc: 83.9000, resnet50_fdadv_asr: 16.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 74.2000, densenet121_adv_asr: 25.8000, densenet121_fdadv_acc: 73.6000, densenet121_fdadv_asr: 26.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 87.2000, resnext50_adv_asr: 12.8000, resnext50_fdadv_acc: 86.7000, resnext50_fdadv_asr: 13.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 56.1000, vgg19bn_adv_asr: 43.9000, vgg19bn_fdadv_acc: 55.9000, vgg19bn_fdadv_asr: 44.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 77.4000, incres_v2_adv_asr: 22.6000, incres_v2_fdadv_acc: 76.0000, incres_v2_fdadv_asr: 24.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 61.5000, inc_v3_adv_asr: 38.5000, inc_v3_fdadv_acc: 60.0000, inc_v3_fdadv_asr: 40.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 75.9000, inc_v4_adv_asr: 24.1000, inc_v4_fdadv_acc: 74.7000, inc_v4_fdadv_asr: 25.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 89.2000, resnet101_adv_asr: 10.8000, resnet101_fdadv_acc: 88.8000, resnet101_fdadv_asr: 11.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 91.5000, resnet152_adv_asr: 8.5000, resnet152_fdadv_acc: 90.9000, resnet152_fdadv_asr: 9.1000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 7.2000, adv_inception_v3_adv_asr: 92.8000, adv_inception_v3_fdadv_acc: 4.5000, adv_inception_v3_fdadv_asr: 95.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.0000, ens_adv_inception_resnet_v2_adv_asr: 19.0000, ens_adv_inception_resnet_v2_fdadv_acc: 81.0000, ens_adv_inception_resnet_v2_fdadv_asr: 19.0000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 91.5000, visformer_small_adv_asr: 8.5000, visformer_small_fdadv_acc: 90.7000, visformer_small_fdadv_asr: 9.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 93.8000, vit_b_adv_asr: 6.2000, vit_b_fdadv_acc: 94.5000, vit_b_fdadv_asr: 5.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 94.2000, swin_b_adv_asr: 5.8000, swin_b_fdadv_acc: 93.9000, swin_b_fdadv_asr: 6.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 93.2000, pit_b_adv_asr: 6.8000, pit_b_fdadv_acc: 92.9000, pit_b_fdadv_asr: 7.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 45.7000, mobilenet_adv_asr: 54.3000, mobilenet_fdadv_acc: 45.4000, mobilenet_fdadv_asr: 54.6000
