resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 11.8000, resnet50_adv_asr: 88.2000, resnet50_fdadv_acc: 10.7000, resnet50_fdadv_asr: 89.3000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.0000, densenet121_adv_asr: 100.0000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 12.7000, resnext50_adv_asr: 87.3000, resnext50_fdadv_acc: 12.1000, resnext50_fdadv_asr: 87.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 6.0000, vgg19bn_adv_asr: 94.0000, vgg19bn_fdadv_acc: 6.2000, vgg19bn_fdadv_asr: 93.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 26.1000, incres_v2_adv_asr: 73.9000, incres_v2_fdadv_acc: 24.4000, incres_v2_fdadv_asr: 75.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 17.2000, inc_v3_adv_asr: 82.8000, inc_v3_fdadv_acc: 16.7000, inc_v3_fdadv_asr: 83.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 18.8000, inc_v4_adv_asr: 81.2000, inc_v4_fdadv_acc: 18.4000, inc_v4_fdadv_asr: 81.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 18.6000, resnet101_adv_asr: 81.4000, resnet101_fdadv_acc: 18.3000, resnet101_fdadv_asr: 81.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 21.1000, resnet152_adv_asr: 78.9000, resnet152_fdadv_acc: 19.5000, resnet152_fdadv_asr: 80.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 50.4000, adv_inception_v3_adv_asr: 49.6000, adv_inception_v3_fdadv_acc: 49.3000, adv_inception_v3_fdadv_asr: 50.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 65.7000, ens_adv_inception_resnet_v2_adv_asr: 34.3000, ens_adv_inception_resnet_v2_fdadv_acc: 64.9000, ens_adv_inception_resnet_v2_fdadv_asr: 35.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 32.2000, visformer_small_adv_asr: 67.8000, visformer_small_fdadv_acc: 30.4000, visformer_small_fdadv_asr: 69.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 58.4000, vit_b_adv_asr: 41.6000, vit_b_fdadv_acc: 58.8000, vit_b_fdadv_asr: 41.2000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 57.3000, swin_b_adv_asr: 42.7000, swin_b_fdadv_acc: 54.8000, swin_b_fdadv_asr: 45.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 50.7000, pit_b_adv_asr: 49.3000, pit_b_fdadv_acc: 50.3000, pit_b_fdadv_asr: 49.7000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 12.5000, mobilenet_adv_asr: 87.5000, mobilenet_fdadv_acc: 12.3000, mobilenet_fdadv_asr: 87.7000
