resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 80.3000, resnet50_adv_asr: 19.7000, resnet50_fdadv_acc: 78.2000, resnet50_fdadv_asr: 21.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 69.4000, densenet121_adv_asr: 30.6000, densenet121_fdadv_acc: 68.1000, densenet121_fdadv_asr: 31.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 81.0000, resnext50_adv_asr: 19.0000, resnext50_fdadv_acc: 79.3000, resnext50_fdadv_asr: 20.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 52.0000, vgg19bn_adv_asr: 48.0000, vgg19bn_fdadv_acc: 50.9000, vgg19bn_fdadv_asr: 49.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 67.0000, incres_v2_adv_asr: 33.0000, incres_v2_fdadv_acc: 64.0000, incres_v2_fdadv_asr: 36.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 59.2000, inc_v3_adv_asr: 40.8000, inc_v3_fdadv_acc: 58.3000, inc_v3_fdadv_asr: 41.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 68.2000, inc_v4_adv_asr: 31.8000, inc_v4_fdadv_acc: 65.9000, inc_v4_fdadv_asr: 34.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 85.1000, resnet101_adv_asr: 14.9000, resnet101_fdadv_acc: 84.2000, resnet101_fdadv_asr: 15.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 87.8000, resnet152_adv_asr: 12.2000, resnet152_fdadv_acc: 85.4000, resnet152_fdadv_asr: 14.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 56.6000, adv_inception_v3_adv_asr: 43.4000, adv_inception_v3_fdadv_acc: 56.0000, adv_inception_v3_fdadv_asr: 44.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 5.2000, ens_adv_inception_resnet_v2_adv_asr: 94.8000, ens_adv_inception_resnet_v2_fdadv_acc: 5.9000, ens_adv_inception_resnet_v2_fdadv_asr: 94.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 87.8000, visformer_small_adv_asr: 12.2000, visformer_small_fdadv_acc: 85.3000, visformer_small_fdadv_asr: 14.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 92.2000, vit_b_adv_asr: 7.8000, vit_b_fdadv_acc: 90.0000, vit_b_fdadv_asr: 10.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 89.4000, swin_b_adv_asr: 10.6000, swin_b_fdadv_acc: 88.9000, swin_b_fdadv_asr: 11.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 90.7000, pit_b_adv_asr: 9.3000, pit_b_fdadv_acc: 89.7000, pit_b_fdadv_asr: 10.3000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 45.6000, mobilenet_adv_asr: 54.4000, mobilenet_fdadv_acc: 45.2000, mobilenet_fdadv_asr: 54.8000
