resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 37.5000, resnet50_adv_asr: 62.5000, resnet50_fdadv_acc: 39.4000, resnet50_fdadv_asr: 60.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 35.5000, densenet121_adv_asr: 64.5000, densenet121_fdadv_acc: 36.9000, densenet121_fdadv_asr: 63.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 36.9000, resnext50_adv_asr: 63.1000, resnext50_fdadv_acc: 36.7000, resnext50_fdadv_asr: 63.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 21.9000, vgg19bn_adv_asr: 78.1000, vgg19bn_fdadv_acc: 21.2000, vgg19bn_fdadv_asr: 78.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 47.4000, incres_v2_adv_asr: 52.6000, incres_v2_fdadv_acc: 47.6000, incres_v2_fdadv_asr: 52.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 36.8000, inc_v3_adv_asr: 63.2000, inc_v3_fdadv_acc: 38.3000, inc_v3_fdadv_asr: 61.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 41.0000, inc_v4_adv_asr: 59.0000, inc_v4_fdadv_acc: 42.4000, inc_v4_fdadv_asr: 57.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 43.2000, resnet101_adv_asr: 56.8000, resnet101_fdadv_acc: 43.2000, resnet101_fdadv_asr: 56.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 43.3000, resnet152_adv_asr: 56.7000, resnet152_fdadv_acc: 45.4000, resnet152_fdadv_asr: 54.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 61.3000, adv_inception_v3_adv_asr: 38.7000, adv_inception_v3_fdadv_acc: 61.1000, adv_inception_v3_fdadv_asr: 38.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 75.2000, ens_adv_inception_resnet_v2_adv_asr: 24.8000, ens_adv_inception_resnet_v2_fdadv_acc: 77.3000, ens_adv_inception_resnet_v2_fdadv_asr: 22.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 30.8000, visformer_small_adv_asr: 69.2000, visformer_small_fdadv_acc: 31.6000, visformer_small_fdadv_asr: 68.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 49.0000, vit_b_adv_asr: 51.0000, vit_b_fdadv_acc: 50.2000, vit_b_fdadv_asr: 49.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 32.9000, swin_b_adv_asr: 67.1000, swin_b_fdadv_acc: 29.9000, swin_b_fdadv_asr: 70.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.0000, pit_b_adv_asr: 100.0000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 30.3000, mobilenet_adv_asr: 69.7000, mobilenet_fdadv_acc: 30.3000, mobilenet_fdadv_asr: 69.7000
