resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 19.6000, resnet50_adv_asr: 80.4000, resnet50_fdadv_acc: 19.4000, resnet50_fdadv_asr: 80.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 23.0000, densenet121_adv_asr: 77.0000, densenet121_fdadv_acc: 23.0000, densenet121_fdadv_asr: 77.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 20.4000, resnext50_adv_asr: 79.6000, resnext50_fdadv_acc: 18.2000, resnext50_fdadv_asr: 81.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 19.3000, vgg19bn_adv_asr: 80.7000, vgg19bn_fdadv_acc: 18.1000, vgg19bn_fdadv_asr: 81.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 39.6000, incres_v2_adv_asr: 60.4000, incres_v2_fdadv_acc: 38.8000, incres_v2_fdadv_asr: 61.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 32.7000, inc_v3_adv_asr: 67.3000, inc_v3_fdadv_acc: 32.5000, inc_v3_fdadv_asr: 67.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 34.8000, inc_v4_adv_asr: 65.2000, inc_v4_fdadv_acc: 33.2000, inc_v4_fdadv_asr: 66.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 4.8000, resnet101_adv_asr: 95.2000, resnet101_fdadv_acc: 3.4000, resnet101_fdadv_asr: 96.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 18.6000, resnet152_adv_asr: 81.4000, resnet152_fdadv_acc: 18.9000, resnet152_fdadv_asr: 81.1000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 61.3000, adv_inception_v3_adv_asr: 38.7000, adv_inception_v3_fdadv_acc: 61.3000, adv_inception_v3_fdadv_asr: 38.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 76.6000, ens_adv_inception_resnet_v2_adv_asr: 23.4000, ens_adv_inception_resnet_v2_fdadv_acc: 75.9000, ens_adv_inception_resnet_v2_fdadv_asr: 24.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 37.4000, visformer_small_adv_asr: 62.6000, visformer_small_fdadv_acc: 37.9000, visformer_small_fdadv_asr: 62.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 60.9000, vit_b_adv_asr: 39.1000, vit_b_fdadv_acc: 60.5000, vit_b_fdadv_asr: 39.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 50.0000, swin_b_adv_asr: 50.0000, swin_b_fdadv_acc: 48.0000, swin_b_fdadv_asr: 52.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 44.4000, pit_b_adv_asr: 55.6000, pit_b_fdadv_acc: 43.8000, pit_b_fdadv_asr: 56.2000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 28.9000, mobilenet_adv_asr: 71.1000, mobilenet_fdadv_acc: 28.7000, mobilenet_fdadv_asr: 71.3000
