resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 0.1000, resnet50_adv_asr: 99.9000, resnet50_fdadv_acc: 40.6000, resnet50_fdadv_asr: 59.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 13.6000, densenet121_adv_asr: 86.4000, densenet121_fdadv_acc: 54.9000, densenet121_fdadv_asr: 45.1000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 9.9000, resnext50_adv_asr: 90.1000, resnext50_fdadv_acc: 54.2000, resnext50_fdadv_asr: 45.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 12.6000, vgg19bn_adv_asr: 87.4000, vgg19bn_fdadv_acc: 44.5000, vgg19bn_fdadv_asr: 55.5000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 32.0000, incres_v2_adv_asr: 68.0000, incres_v2_fdadv_acc: 67.1000, incres_v2_fdadv_asr: 32.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 26.2000, inc_v3_adv_asr: 73.8000, inc_v3_fdadv_acc: 59.4000, inc_v3_fdadv_asr: 40.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 26.6000, inc_v4_adv_asr: 73.4000, inc_v4_fdadv_acc: 62.3000, inc_v4_fdadv_asr: 37.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 12.9000, resnet101_adv_asr: 87.1000, resnet101_fdadv_acc: 55.4000, resnet101_fdadv_asr: 44.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 14.7000, resnet152_adv_asr: 85.3000, resnet152_fdadv_acc: 56.6000, resnet152_fdadv_asr: 43.4000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 56.0000, adv_inception_v3_adv_asr: 44.0000, adv_inception_v3_fdadv_acc: 72.2000, adv_inception_v3_fdadv_asr: 27.8000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 77.3000, ens_adv_inception_resnet_v2_adv_asr: 22.7000, ens_adv_inception_resnet_v2_fdadv_acc: 82.1000, ens_adv_inception_resnet_v2_fdadv_asr: 17.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 29.3000, visformer_small_adv_asr: 70.7000, visformer_small_fdadv_acc: 66.5000, visformer_small_fdadv_asr: 33.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 60.1000, vit_b_adv_asr: 39.9000, vit_b_fdadv_acc: 81.2000, vit_b_fdadv_asr: 18.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 49.6000, swin_b_adv_asr: 50.4000, swin_b_fdadv_acc: 75.4000, swin_b_fdadv_asr: 24.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 41.2000, pit_b_adv_asr: 58.8000, pit_b_fdadv_acc: 72.1000, pit_b_fdadv_asr: 27.9000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 23.8000, mobilenet_adv_asr: 76.2000, mobilenet_fdadv_acc: 49.3000, mobilenet_fdadv_asr: 50.7000
