resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 18.3000, resnet50_adv_asr: 81.7000, resnet50_fdadv_acc: 17.2000, resnet50_fdadv_asr: 82.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 20.9000, densenet121_adv_asr: 79.1000, densenet121_fdadv_acc: 21.0000, densenet121_fdadv_asr: 79.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 3.8000, resnext50_adv_asr: 96.2000, resnext50_fdadv_acc: 1.5000, resnext50_fdadv_asr: 98.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 18.6000, vgg19bn_adv_asr: 81.4000, vgg19bn_fdadv_acc: 18.6000, vgg19bn_fdadv_asr: 81.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 39.3000, incres_v2_adv_asr: 60.7000, incres_v2_fdadv_acc: 38.8000, incres_v2_fdadv_asr: 61.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 31.9000, inc_v3_adv_asr: 68.1000, inc_v3_fdadv_acc: 30.2000, inc_v3_fdadv_asr: 69.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 31.8000, inc_v4_adv_asr: 68.2000, inc_v4_fdadv_acc: 32.9000, inc_v4_fdadv_asr: 67.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 20.8000, resnet101_adv_asr: 79.2000, resnet101_fdadv_acc: 20.9000, resnet101_fdadv_asr: 79.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 22.8000, resnet152_adv_asr: 77.2000, resnet152_fdadv_acc: 21.8000, resnet152_fdadv_asr: 78.2000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 58.7000, adv_inception_v3_adv_asr: 41.3000, adv_inception_v3_fdadv_acc: 59.0000, adv_inception_v3_fdadv_asr: 41.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 76.2000, ens_adv_inception_resnet_v2_adv_asr: 23.8000, ens_adv_inception_resnet_v2_fdadv_acc: 76.0000, ens_adv_inception_resnet_v2_fdadv_asr: 24.0000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 35.3000, visformer_small_adv_asr: 64.7000, visformer_small_fdadv_acc: 36.3000, visformer_small_fdadv_asr: 63.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 60.1000, vit_b_adv_asr: 39.9000, vit_b_fdadv_acc: 61.1000, vit_b_fdadv_asr: 38.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 49.2000, swin_b_adv_asr: 50.8000, swin_b_fdadv_acc: 50.0000, swin_b_fdadv_asr: 50.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 45.7000, pit_b_adv_asr: 54.3000, pit_b_fdadv_acc: 45.0000, pit_b_fdadv_asr: 55.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 28.3000, mobilenet_adv_asr: 71.7000, mobilenet_fdadv_acc: 27.2000, mobilenet_fdadv_asr: 72.8000
