resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 58.3000, resnet50_adv_asr: 41.7000, resnet50_fdadv_acc: 57.7000, resnet50_fdadv_asr: 42.3000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 52.7000, densenet121_adv_asr: 47.3000, densenet121_fdadv_acc: 54.6000, densenet121_fdadv_asr: 45.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 59.3000, resnext50_adv_asr: 40.7000, resnext50_fdadv_acc: 59.4000, resnext50_fdadv_asr: 40.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 34.3000, vgg19bn_adv_asr: 65.7000, vgg19bn_fdadv_acc: 32.2000, vgg19bn_fdadv_asr: 67.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 64.4000, incres_v2_adv_asr: 35.6000, incres_v2_fdadv_acc: 66.0000, incres_v2_fdadv_asr: 34.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 53.5000, inc_v3_adv_asr: 46.5000, inc_v3_fdadv_acc: 53.7000, inc_v3_fdadv_asr: 46.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 59.7000, inc_v4_adv_asr: 40.3000, inc_v4_fdadv_acc: 60.8000, inc_v4_fdadv_asr: 39.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 62.7000, resnet101_adv_asr: 37.3000, resnet101_fdadv_acc: 63.9000, resnet101_fdadv_asr: 36.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 63.0000, resnet152_adv_asr: 37.0000, resnet152_fdadv_acc: 64.7000, resnet152_fdadv_asr: 35.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 67.2000, adv_inception_v3_adv_asr: 32.8000, adv_inception_v3_fdadv_acc: 68.8000, adv_inception_v3_fdadv_asr: 31.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.0000, ens_adv_inception_resnet_v2_adv_asr: 19.0000, ens_adv_inception_resnet_v2_fdadv_acc: 81.2000, ens_adv_inception_resnet_v2_fdadv_asr: 18.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 51.0000, visformer_small_adv_asr: 49.0000, visformer_small_fdadv_acc: 50.8000, visformer_small_fdadv_asr: 49.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 60.5000, vit_b_adv_asr: 39.5000, vit_b_fdadv_acc: 60.7000, vit_b_fdadv_asr: 39.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 1.2000, swin_b_adv_asr: 98.8000, swin_b_fdadv_acc: 0.3000, swin_b_fdadv_asr: 99.7000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 48.7000, pit_b_adv_asr: 51.3000, pit_b_fdadv_acc: 48.5000, pit_b_fdadv_asr: 51.5000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 38.2000, mobilenet_adv_asr: 61.8000, mobilenet_fdadv_acc: 38.8000, mobilenet_fdadv_asr: 61.2000
