resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 18.1000, resnet50_adv_asr: 81.9000, resnet50_fdadv_acc: 16.4000, resnet50_fdadv_asr: 83.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 17.2000, densenet121_adv_asr: 82.8000, densenet121_fdadv_acc: 16.8000, densenet121_fdadv_asr: 83.2000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 17.1000, resnext50_adv_asr: 82.9000, resnext50_fdadv_acc: 17.0000, resnext50_fdadv_asr: 83.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 9.6000, vgg19bn_adv_asr: 90.4000, vgg19bn_fdadv_acc: 9.7000, vgg19bn_fdadv_asr: 90.3000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 27.7000, incres_v2_adv_asr: 72.3000, incres_v2_fdadv_acc: 28.0000, incres_v2_fdadv_asr: 72.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 21.5000, inc_v3_adv_asr: 78.5000, inc_v3_fdadv_acc: 21.1000, inc_v3_fdadv_asr: 78.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 21.8000, inc_v4_adv_asr: 78.2000, inc_v4_fdadv_acc: 20.3000, inc_v4_fdadv_asr: 79.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 22.1000, resnet101_adv_asr: 77.9000, resnet101_fdadv_acc: 22.3000, resnet101_fdadv_asr: 77.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 24.0000, resnet152_adv_asr: 76.0000, resnet152_fdadv_acc: 22.9000, resnet152_fdadv_asr: 77.1000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 53.2000, adv_inception_v3_adv_asr: 46.8000, adv_inception_v3_fdadv_acc: 53.9000, adv_inception_v3_fdadv_asr: 46.1000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 65.2000, ens_adv_inception_resnet_v2_adv_asr: 34.8000, ens_adv_inception_resnet_v2_fdadv_acc: 66.5000, ens_adv_inception_resnet_v2_fdadv_asr: 33.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 0.3000, visformer_small_adv_asr: 99.7000, visformer_small_fdadv_acc: 0.0000, visformer_small_fdadv_asr: 100.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 32.6000, vit_b_adv_asr: 67.4000, vit_b_fdadv_acc: 33.6000, vit_b_fdadv_asr: 66.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 19.3000, swin_b_adv_asr: 80.7000, swin_b_fdadv_acc: 18.9000, swin_b_fdadv_asr: 81.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 15.4000, pit_b_adv_asr: 84.6000, pit_b_fdadv_acc: 15.7000, pit_b_fdadv_asr: 84.3000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 19.0000, mobilenet_adv_asr: 81.0000, mobilenet_fdadv_acc: 17.7000, mobilenet_fdadv_asr: 82.3000
