resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 40.0000, resnet50_adv_asr: 60.0000, resnet50_fdadv_acc: 38.7000, resnet50_fdadv_asr: 61.3000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 33.5000, densenet121_adv_asr: 66.5000, densenet121_fdadv_acc: 30.1000, densenet121_fdadv_asr: 69.9000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 42.9000, resnext50_adv_asr: 57.1000, resnext50_fdadv_acc: 38.1000, resnext50_fdadv_asr: 61.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 20.6000, vgg19bn_adv_asr: 79.4000, vgg19bn_fdadv_acc: 18.8000, vgg19bn_fdadv_asr: 81.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 44.8000, incres_v2_adv_asr: 55.2000, incres_v2_fdadv_acc: 41.9000, incres_v2_fdadv_asr: 58.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 35.7000, inc_v3_adv_asr: 64.3000, inc_v3_fdadv_acc: 33.7000, inc_v3_fdadv_asr: 66.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 41.2000, inc_v4_adv_asr: 58.8000, inc_v4_fdadv_acc: 38.0000, inc_v4_fdadv_asr: 62.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 46.8000, resnet101_adv_asr: 53.2000, resnet101_fdadv_acc: 43.8000, resnet101_fdadv_asr: 56.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 45.6000, resnet152_adv_asr: 54.4000, resnet152_fdadv_acc: 43.0000, resnet152_fdadv_asr: 57.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 58.2000, adv_inception_v3_adv_asr: 41.8000, adv_inception_v3_fdadv_acc: 56.7000, adv_inception_v3_fdadv_asr: 43.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 73.6000, ens_adv_inception_resnet_v2_adv_asr: 26.4000, ens_adv_inception_resnet_v2_fdadv_acc: 73.3000, ens_adv_inception_resnet_v2_fdadv_asr: 26.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 31.7000, visformer_small_adv_asr: 68.3000, visformer_small_fdadv_acc: 29.2000, visformer_small_fdadv_asr: 70.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 0.1000, vit_b_adv_asr: 99.9000, vit_b_fdadv_acc: 0.1000, vit_b_fdadv_asr: 99.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 28.0000, swin_b_adv_asr: 72.0000, swin_b_fdadv_acc: 25.6000, swin_b_fdadv_asr: 74.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 35.4000, pit_b_adv_asr: 64.6000, pit_b_fdadv_acc: 33.0000, pit_b_fdadv_asr: 67.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 25.9000, mobilenet_adv_asr: 74.1000, mobilenet_fdadv_acc: 25.7000, mobilenet_fdadv_asr: 74.3000
